sample_id,job_id,model_label,tier,condition,stratum,stratum_population,negative_stem,none_of_the_above,all_of_the_above,combination_options,fill_in_blank,true_false_stem,longest_option_key,option_length_outlier,absolute_terms,vague_terms,clang_cue,grammatical_cue,nonparallel_options,numeric_not_ordered,numeric_units_inconsistent,overlapping_options,options_not_alphabetical,n_flaws,n_options,key,stem_words,key_chars,mean_distractor_chars
157,c01349c2aa1d,Gemini 3.1 Pro,flagship,guided,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,B,105,90,75.5
158,d4a5f5ad2a0a,GPT-5.6 Luna,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,76,24,36.2
159,f62de96c4fa5,DeepSeek V4 Pro,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,D,56,76,39.2
160,3a1ed0e57e20,Qwen 3.8 Max,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,B,94,15,34.8
161,ecef91175690,Claude Sonnet 5,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,E,112,92,64.8
162,294c9da04585,DeepSeek V4 Pro,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,D,80,24,22
163,bfe69d9b3e8b,Mistral Small 2603,base,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,A,40,43,57.5
164,3ebb88fd0ca4,Claude Sonnet 5,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,B,117,18,25.5
165,ff2430638e43,Claude Sonnet 5,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,79,10,9.5
166,86f593c3a857,Qwen 3.6 27B,base,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,B,61,17,17.5
167,582c2a3264af,Llama 4 Maverick,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,52,51,21
168,5ec7443125fc,DeepSeek V4 Flash,base,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,3,5,A,81,24,27.8
169,162b69f88095,Claude Sonnet 5,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,101,10,9.2
170,2f7a868a1e47,DeepSeek V4 Pro,flagship,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,4,5,A,60,39,20.8
171,08b19bfb56fc,Claude Opus 5,flagship,plain,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,B,102,58,55.2
172,fc369bea2be8,Claude Opus 5,flagship,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,5,C,144,28,39.2
173,e0534311a57f,Claude Sonnet 5,base,plain,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,B,68,40,52.8
174,5a8def26baac,DeepSeek V4 Flash,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,43,54,52.2
175,d2bc828d5617,Mistral Small 2603,base,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,A,37,68,47
176,797fc71dadc5,Grok 4.6,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,D,57,6,11.8
177,10eed6debca1,GPT-5.6 Terra,base,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,5,A,80,30,26.5
178,a8da3e4a9616,Claude Opus 5,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,B,111,48,39.8
179,4088d7ff0dae,Gemini 3.1 Pro,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,C,110,48,44.8
180,b273198f3960,Claude Opus 5,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,126,25,27.8
181,e4bc8916890c,Gemini 3.1 Pro,flagship,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,5,C,74,19,32
182,73e7a90f9a53,Claude Opus 5,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,148,43,45.8
183,be0cb6a9b605,Grok 4.6,flagship,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,5,D,87,30,23.5
184,0ff760f607e6,Grok 4.6,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,41,28,24.2
185,ab4977b4e710,Claude Sonnet 5,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,5,A,121,62,28.8
186,e66d51c0a191,DeepSeek V4 Flash,base,guided,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,B,77,54,50.5
187,e62f71b02b27,Mistral Small 2603,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,B,61,36,27.8
188,4e2c5591eeca,DeepSeek V4 Flash,base,plain,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,A,83,22,9
189,cff931ba29b2,Gemini 3.8 Flash,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,131,36,28
190,fda8c1a39cbd,Claude Sonnet 5,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,C,63,53,46.8
191,fd38d6dc12d9,GPT-5.6 Luna,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,A,77,46,39
192,8af55cd0aacb,Grok 4.6,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,60,40,43.8
193,1c4183b0278f,Gemini 3.1 Pro,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,112,26,24.8
194,7c7c4eb4d507,Grok 4.6,flagship,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,B,66,30,24.8
195,5c46a44b9ef6,Gemini 3.1 Pro,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,C,121,15,26.5
196,d5ddac37fa5a,Llama 4 Maverick,base,guided,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,A,34,40,42.8
197,dc4f23e9bd3c,Qwen 3.6 27B,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,61,36,45.5
198,f0eb4e145824,Claude Opus 5,flagship,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,5,A,144,11,37.5
199,7a98d5ce77b0,Gemini 3.1 Pro,flagship,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,5,E,113,43,35.2
200,67c4231a63fd,Qwen 3.8 Max,flagship,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,A,85,80,58.8
201,660edc7e2d8b,GPT-6 Astra,flagship,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,4,5,B,131,54,24
202,e32910665c08,GPT-5.6 Luna,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,67,80,33.8
203,545885a245d0,Gemini 3.8 Flash,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,87,27,40
204,a54181cf6373,GPT-6 Astra,flagship,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,B,107,102,84
205,ca1f26cbc37c,Claude Opus 5,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,150,10,11.8
206,9250bca974c2,DeepSeek V4 Flash,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,54,26,35.2
207,3e6d80b2fd7a,Claude Opus 5,flagship,guided,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,C,109,19,22
208,67a036431eb8,Mistral Small 2603,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,62,22,34.8
209,f8cadcfb1a10,Claude Sonnet 5,base,plain,flagged:overlapping_options,165,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,5,E,107,59,17.2
210,6a63e91fa8f6,Claude Opus 5,flagship,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,148,63,46
211,b0fb6900b3a0,Llama 4 Maverick,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,55,26,20.2
212,4682ad86b1c6,Llama 4 Maverick,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,4,5,A,58,61,15.2
213,da69a5fe3337,GPT-5.6 Luna,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,A,66,22,9.5
214,f5392370fff7,Gemini 3.1 Pro,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,C,119,16,17
215,251062ed5ca4,DeepSeek V4 Pro,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,122,25,26.8
216,50ca825acdab,GPT-5.6 Luna,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,75,103,56
217,1fda02a4dac7,GPT-6 Astra,flagship,guided,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,A,115,54,57
218,9cd864514250,DeepSeek V4 Pro,flagship,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,A,63,6,6.2
219,d520779e82ad,Llama 4 Maverick,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,A,53,89,59.2
220,9e6fee3e82c2,GPT-5.6 Luna,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,3,5,A,76,88,39.8
221,bb806955df18,Qwen 3.6 27B,base,plain,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,C,74,40,46.2
222,06dfcebec6f2,Mistral Small 2603,base,guided,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,A,56,38,51.5
223,e535ddee8d1b,DeepSeek V4 Flash,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,76,19,18.8
224,bfe258522ba4,Gemini 3.8 Flash,base,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,C,111,51,23
225,6113365a8a10,DeepSeek V4 Flash,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,73,18,21
226,8a35e7225619,GPT-5.6 Terra,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,5,A,60,52,60.8
227,702ce6b1027f,Claude Sonnet 5,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,84,47,63
228,cb490fc10a13,Grok 4.6,flagship,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,D,34,10,13.8
229,94e676a9e1f4,Claude Opus 5,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,124,24,25.8
230,e16e9947bcc4,GPT-5.6 Terra,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,47,11,11.2
231,2e3894c9848a,Qwen 3.6 27B,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,B,110,72,29.5
232,7ce18c26a066,DeepSeek V4 Flash,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,A,57,14,26.5
233,967dae45a78a,Mistral Small 2603,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,67,37,45.5
234,22392d9b022d,Qwen 3.6 27B,base,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,C,95,17,47.2
235,4906d168ce78,Gemini 3.1 Pro,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,E,94,46,47.5
236,5670187f99dd,Claude Fable 5.1,flagship,plain,flagged:combination_options,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,A,132,41,47.8
237,8e09e626059d,DeepSeek V4 Flash,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,C,72,59,32
238,9acd52d4a6f3,Claude Sonnet 5,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,B,85,50,63.8
239,da3bb1961d2b,Grok 4.6,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,61,35,36
240,e137630ecdc1,Qwen 3.8 Max,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,A,100,19,19.5
241,cd700301cded,Mistral Small 2603,base,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,5,A,42,83,56.2
242,475b142c566e,GPT-5.6 Terra,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,81,35,25.8
243,42b980a633ff,Llama 4 Maverick,base,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,57,35,49
244,8aaf0f1e342f,DeepSeek V4 Flash,base,guided,flagged:absolute_terms,339,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,A,54,50,77
245,dad2278c1763,Claude Opus 5,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,140,39,42.8
246,82eb8a28ce2a,Llama 4 Maverick,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,36,16,16
247,9086934fc2f5,Gemini 3.1 Pro,flagship,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,111,49,57
248,abf8fcafb273,GPT-6 Astra,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,E,50,24,24.5
249,3ac7e31e9cd7,GPT-5.6 Luna,base,plain,flagged:combination_options,133,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,A,99,127,73.8
250,4d42b68a6677,GPT-5.6 Luna,base,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,74,63,48.8
251,24be0eb2a0e3,Qwen 3.8 Max,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,5,A,94,70,39.5
252,97a4900a6aeb,DeepSeek V4 Flash,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,53,12,12.5
253,3fc6d25eaad5,Claude Opus 5,flagship,guided,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,A,135,43,50.2
254,afdeb96c752b,Gemini 3.8 Flash,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,B,110,42,31
255,9dd83c227d9a,Claude Opus 5,flagship,plain,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,B,145,33,45.8
256,fb7dc274a4ed,GPT-5.6 Terra,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,5,C,84,172,92
257,52924402fdba,Gemini 3.8 Flash,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,B,122,16,19.5
258,c275313e083e,Mistral Small 2603,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,C,68,76,30.2
259,386dbdcf9fcc,Gemini 3.8 Flash,base,plain,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,D,104,33,21.5
260,9e2c7ea4c92c,Gemini 3.1 Pro,flagship,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,B,119,23,10.5
261,af9377e98cd3,Llama 4 Maverick,base,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,A,42,18,20
262,ba52ceba7fd2,DeepSeek V4 Flash,base,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,5,B,74,26,12
263,5417589da053,GPT-5.6 Terra,base,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5,A,75,41,21.8
264,bd2b03d98cf2,Llama 4 Maverick,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,44,13,10
265,44d69e8d1118,Claude Sonnet 5,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,B,90,48,74
266,4ef7b71056fb,Claude Sonnet 5,base,guided,flagged:absolute_terms,339,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5,C,81,28,30
267,19679512dd72,Mistral Small 2603,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,109,87,68
268,b88508086aed,DeepSeek V4 Flash,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,57,19,20.5
269,64d7bee4f566,Claude Opus 5,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,148,19,24
270,d1b4b6c66b55,Qwen 3.8 Max,flagship,guided,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5,A,92,48,29.5
271,d8f84c5a336f,Gemini 3.1 Pro,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,120,25,24.2
272,8e638eaf7a1c,Claude Opus 5,flagship,plain,flagged:clang_cue,1004,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,5,C,199,73,31.8
273,3ade8c2b0fd6,Claude Fable 5.1,flagship,guided,flagged:grammatical_cue,368,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,E,119,73,57.5
274,ef1ae8708056,Grok 4.6,flagship,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,E,76,18,11
275,4d0338302d52,Claude Opus 5,flagship,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,B,145,39,30
276,fca884909ba9,GPT-5.6 Terra,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,A,59,10,11.5
277,fc4188cfcfa5,Claude Fable 5.1,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,173,16,30.8
278,d09080800c8c,Gemini 3.1 Pro,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,B,107,40,47
279,a50b66a3eb95,Claude Fable 5.1,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,A,92,76,70.5
280,0b052c04728e,GPT-5.6 Luna,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,60,63,57.5
281,f0b7f7f49522,Claude Fable 5.1,flagship,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,5,A,107,27,38.5
282,4ac1c4c2d8c7,Claude Sonnet 5,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,5,C,103,79,31.2
283,f6fb05f0b7ac,Mistral Small 2603,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,C,53,51,42.5
284,7b462618e3e7,Llama 4 Maverick,base,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,5,A,61,23,29.2
285,c1385a084f5b,DeepSeek V4 Pro,flagship,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,A,74,18,22.8
286,2751a5d70c60,Qwen 3.6 27B,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,5,C,107,124,72.2
287,0ae1890b9eaf,DeepSeek V4 Pro,flagship,guided,flagged:overlapping_options,165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,C,82,8,24
288,5546098061e9,GPT-6 Astra,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,B,112,10,10
289,6efe69643439,Mistral Small 2603,base,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,106,64,53
290,59dac43b1168,Gemini 3.1 Pro,flagship,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,120,25,22
291,afb1a311c39b,Llama 4 Maverick,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,A,59,18,16
292,02af8c18d6b3,GPT-6 Astra,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,C,116,30,23.2
293,8cf2258b03f0,DeepSeek V4 Pro,flagship,plain,flagged:overlapping_options,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,A,47,11,11.2
294,9ea1f4c7f151,Qwen 3.8 Max,flagship,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,88,25,22.8
295,813c5dbb6ae2,Claude Opus 5,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,131,25,37.8
296,2061595d6645,Llama 4 Maverick,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,A,58,79,52
297,7312d6a586af,Claude Sonnet 5,base,plain,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,57,74,71
298,4523aa538d78,DeepSeek V4 Flash,base,guided,flagged:nonparallel_options,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,A,83,13,31.8
299,864ef10ad0b1,Gemini 3.1 Pro,flagship,guided,flagged:clang_cue,1004,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,C,92,27,16.5
300,95d52a99967f,Mistral Small 2603,base,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,A,64,52,42.8
301,4cff2c9a71f7,Qwen 3.8 Max,flagship,plain,flagged:nonparallel_options,273,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,4,5,A,101,71,33.8
302,e010373340bb,Llama 4 Maverick,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,A,47,99,58
303,5d902bc3bd09,Qwen 3.8 Max,flagship,guided,flagged:overlapping_options,165,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,3,5,D,75,54,37.2
304,d03798a0e714,GPT-6 Astra,flagship,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,110,71,56
305,35398dca0097,DeepSeek V4 Flash,base,plain,flagged:absolute_terms,339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,A,48,42,42.5
306,0324684909c4,Claude Sonnet 5,base,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,100,52,62
307,463f1358c4c0,DeepSeek V4 Flash,base,plain,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,A,108,27,15.5
308,1eabf5735381,Qwen 3.6 27B,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,105,80,53.5
309,231605a4c54e,GPT-5.6 Terra,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,5,E,72,44,25.5
310,b56be8ae84b0,GPT-5.6 Terra,base,plain,flagged:longest_option_key,975,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,5,A,90,130,74.5
311,781f9df0a3d8,Qwen 3.6 27B,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,5,B,184,25,25.2
312,bc6a073c83b0,GPT-5.6 Luna,base,plain,flagged:clang_cue,1004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,A,63,25,13.5
313,1c5a4a1a32f4,GPT-5.6 Luna,base,guided,unflagged,9406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,A,51,40,36.2
314,8fadf6ba6cfa,Qwen 3.8 Max,flagship,guided,unflagged,9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,D,104,25,30.2
